job_id,job_position_name,educational_requirements,responsibilities,experiencere_requirement,age_requirement,skills_required,jobs_text
1,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",At least 1 year,,,"Senior Software Engineer B.Sc in Computer Science & Engineering from a reputed university. Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




 At least 1 year nan nan"
2,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",At least 5 year(s),,,"Machine Learning (ML) Engineer M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis At least 5 year(s) nan nan"
3,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",At least 3 years,,"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing","Executive/ Senior Executive- Trade Marketing, Hygiene Products Master of Business Administration (MBA) Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking At least 3 years nan Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing"
4,Business Development Executive,Bachelor/Honors,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",1 to 3 years,Age 22 to 30 years,"Fast typing skill
IELTSInternet browsing & online work ability.","Business Development Executive Bachelor/Honors Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication 1 to 3 years Age 22 to 30 years Fast typing skill
IELTSInternet browsing & online work ability."
5,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",At least 4 years,,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI","Senior iOS Engineer Bachelor of Science (BSc) in Computer Science iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality At least 4 years nan iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI"
6,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,"Python
R or Java
TensorFlow
PyTorch
Scikit-learn.","AI Engineer Bachelors or Masters degree in Computer Science, Engineering, or a related field. Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration nan nan Python
R or Java
TensorFlow
PyTorch
Scikit-learn."
7,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",2 to 5 years,Age 25 to 40 years,"Maintenance  and Troubleshooting
Mechanical","Mechanical Engineer Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance 2 to 5 years Age 25 to 40 years Maintenance  and Troubleshooting
Mechanical"
8,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",At least 5 years,Age at least 24 years,"AutoCAD
Solidworks","Mechanical Designer Bachelor’s degree in Mechanical Engineering from a reputed institute. Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation At least 5 years Age at least 24 years AutoCAD
Solidworks"
9,Asst. Manager/ Manger (Administrative),Bachelor/Honors,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",At least 5 years,Age at least 28 years,"•Administration
•Health Safety and Environment
•Safety and Security Management","Asst. Manager/ Manger (Administrative) Bachelor/Honors Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation At least 5 years Age at least 28 years •Administration
•Health Safety and Environment
•Safety and Security Management"
10,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",At least 1 year,Age 25 to 40 years,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS","Database Administrator (DBA) Bachelor of Science (BSc) in Computer Science Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting At least 1 year Age 25 to 40 years ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS"
11,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",4 to 5 years,,"Cisco
Linux
Operation & Maintenance of Server","System Administrator (Operation & Maintenance of Server, Storage & Service Desk System) Bachelor/Honors Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution 4 to 5 years nan Cisco
Linux
Operation & Maintenance of Server"
12,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",5 to 10 years,Age 30 to 40 years,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering","Project Coordinator (Civil) •Bachelor of Business Administration (BBA) in Human Resource Management Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration 5 to 10 years Age 30 to 40 years Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering"
13,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",3 to 5 years,Age at most 40 years,,"Executive/ Sr. Executive -IT Bachelor of Science (BSc) in Computer Science & Engineering Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support 3 to 5 years Age at most 40 years nan"
14,Network Support Engineer,"Diploma, Bachelor/Honors","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",At least 3 years,Age 25 to 35 years,"CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU","Network Support Engineer Diploma, Bachelor/Honors Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge At least 3 years Age 25 to 35 years CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU"
15,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Age 20 to 35 years,,"Intern (Generative AI Engineering - 2D/3D Image Generation) Bachelor of Science (BSc) Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration nan Age 20 to 35 years nan"
16,Executive - VAT,BBA in Accounting and Finance,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",1 to 3 years,,VAT and Tax,"Executive - VAT BBA in Accounting and Finance Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks 1 to 3 years nan VAT and Tax"
17,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",2 to 4 years,,"Having CACC from reputed CA Firm
Internal Audit and Compliance","Sr.Officer / Executive - Internal Audit Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification 2 to 4 years nan Having CACC from reputed CA Firm
Internal Audit and Compliance"
18,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Age at least 22 years,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working","Management Trainee - Mechanical Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field. Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support nan Age at least 22 years Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working"
19,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,Age 18 to 30 years,Human Resource Management,"HR Officer •Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university. Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution nan Age 18 to 30 years Human Resource Management"
20,DevOps Engineer,Bachelor/Honors,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",At least 3 years,,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform","DevOps Engineer Bachelor/Honors Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability At least 3 years nan Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform"
21,Data Engineer,Bachelor of Science (BSc),"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",5 to 8 years,,"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL","Data Engineer Bachelor of Science (BSc) Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning 5 to 8 years nan Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL"
22,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",At least 15 years,Age at most 52 years,"AUDIT AND INSPECTION
Banking
Internal Audit","Head of Internal Control & Compliance (ICC) - SEVP/DMD Masters, Master of Business Administration (MBA), Master of Business Management (MBM) 15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws At least 15 years Age at most 52 years AUDIT AND INSPECTION
Banking
Internal Audit"
23,"Full Stack Developer (Python,React js)",Bachelor/Honors,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",3 to 7 years,,,"Full Stack Developer (Python,React js) Bachelor/Honors Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting 3 to 7 years nan nan"
24,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",At least 5 years,Age at least 30 years,"AutoCAD
ETABS
Microsoft Office Suite
MS Project","Civil Engineer B.Sc in Civil Engineering from a reputed university. Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits At least 5 years Age at least 30 years AutoCAD
ETABS
Microsoft Office Suite
MS Project"
25,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",At least 2 years,Age 25 to 32 years,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development","Data Science Engineer Bachelor of Science (BSc) in Computer Science & Engineering Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support At least 2 years Age 25 to 32 years Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development"
26,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",5 to 6 years,Age 25 to 40 years,"HRM Report
Human Resource Management
NGO","Manager- Human Resource Management (HRM)
 Masters degree in any discipline, Bachelor of Business Administration (BBA) Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution 5 to 6 years Age 25 to 40 years HRM Report
Human Resource Management
NGO"
27,Marketing Officer,Bachelor/Honors,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",At least 1 year,,"Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)","Marketing Officer Bachelor/Honors Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO At least 1 year nan Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)"
28,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",1 to 2 years,Age 25 to 30 years,"AutoCAD
Communication and negotiation skills
Internet
MS Office","Site Engineer Bachelor of Science (BSc) in Civil Engineering Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




 1 to 2 years Age 25 to 30 years AutoCAD
Communication and negotiation skills
Internet
MS Office"
